model,val_roc_auc,val_pr_auc,val_f1,val_best_threshold,test_roc_auc,test_pr_auc,test_f1,test_precision,test_recall
Majority Class Baseline,,,,-,0.5,,0.0,0.0,0.0
Logistic Regression,0.7056741806686161,,0.47975146155531995,0.26,0.7053997811933208,0.44033521018500626,0.4800134951080233,0.3776246461151305,0.6585804903137322
XGBoost (tuned),0.709614338205634,,0.4824824650678636,0.25,0.706379642909898,0.43950703645025524,0.47792446428732277,0.3677848069093951,0.6822304131664667
